1 3 10 13 23 25 34 36 38 40 52 54 59 63 67 76 85 86 90 93 98 107 113 
1 3 10 15 23 25 34 36 38 41 52 54 59 63 67 76 85 86 90 93 99 110 114 
1 3 10 15 23 25 34 36 38 43 52 54 59 63 67 76 85 86 90 93 98 110 114 
1 3 10 13 23 25 34 36 38 40 52 54 59 63 67 76 85 86 90 93 98 110 114 
1 3 10 15 23 25 34 36 38 43 52 54 59 63 67 76 85 86 90 93 98 110 113 
1 3 10 15 23 25 34 36 38 43 52 54 59 63 67 76 85 86 90 93 99 107 113 
1 3 10 15 23 25 34 36 38 43 52 54 59 63 67 76 85 86 90 93 99 107 114 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 70 79 85 86 90 95 101 111 114 
1 3 10 15 23 25 34 36 38 43 52 54 59 63 67 76 85 86 90 93 98 107 113 
1 3 10 13 23 25 34 36 38 40 52 54 59 63 67 76 85 86 90 93 99 107 113 
1 3 10 13 23 25 34 36 38 40 52 54 59 63 67 76 85 86 90 93 99 107 114 
1 3 10 15 23 25 34 36 38 43 52 54 59 63 67 76 85 86 90 93 98 107 114 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 70 79 85 86 90 95 101 111 116 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 70 79 85 86 90 95 101 110 116 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 70 79 85 86 90 95 101 110 117 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 70 79 85 86 90 95 101 111 117 
1 3 10 13 23 25 34 36 38 40 52 54 59 63 67 76 85 86 90 93 98 110 113 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 70 80 85 86 90 95 101 110 114 
1 3 10 13 23 25 34 36 38 40 52 54 59 63 67 76 85 86 90 93 98 107 114 
1 3 10 16 24 29 34 36 39 43 52 56 61 66 71 77 85 86 90 95 101 110 116 
